,arabic,roman
0,عابدة,aabida
1,عابرة,aabira
2,عبرو,aabroo
3,عادلة,aadila
4,عافة,aafa
5,افاق,aafaq
6,عافرة,aafira
7,عافية,aafiya
8,عاءدة,aaida
9,ايلة,aaila
10,ايماء,aaima
11,انا,aaina
12,عاءضة,aaiza
13,عاكفة,aakifah
14,اعلى,aala
15,اليفة,aalifa
16,عالية,aaliya
17,امال,aamal
18,عاملة,aamilah
19,امنة,aamina
20,عامرة,aamirah
21,اناء,aana
22,انصح,aaneseh
23,انيل,aanil
24,عقيله,aaqilah
25,ارى,aara
26,اربة,aaribah
27,عريفة,aarifah
28,ارز,aarzu
29,اصل,aasal
30,اسمان,aaseman
31,اسفة,aasfa
32,اسيا,aasia
33,اسمه,aasimah
34,اسيرة,aasira
35,اصيح,aasiyah
36,اسم,aasma
37,اسماء,aasmaa
38,عطيفة,aatifa
39,اتفه,aatifah
40,اتيكا,aatika
41,اطيقه,aatikah
42,اطيق,aatiq
43,عتيقة,aatiqa
44,اطيقه,aatiqah
45,اطرح,aatirah
46,اتية,aatiya
47,اوز,aawaz
48,اوين,aaween
49,عايزه,aayizah
50,عيون,aayun
51,ابال,abaal
52,عباس,abaasa
53,ابل,abal
54,ابنوس,abanus
55,عبسة,abasah
56,باسه,abbaasah
57,ابدا,abda
58,عبده,abdah
59,ابدية,abdia
60,بضيقن,abdiqani
61,ابدية,abdiya
62,ابلة,abeela
63,عبيرة,abeira
64,ابي,abia
65,ابنوس,abinus
66,بيشة,abisha
67,عبلة,abla
68,ابنوس,abnus
69,بقره,abqurah
70,عبر,abra
71,ابرار,abrar
72,ابرزهمنا,abreshmina
73,ابرزهم,abrisham
74,ابصار,absaar
75,ابتاه,abtahi
76,عبورة,aburah
77,ابيه,abyah
78,ابين,abyan
79,ادى,ada
80,ادب,adab
81,ادان,adan
82,اذنيه,adaniyyah
83,ادارة,adara
84,ادرنة,adarina
85,ادوية,adawiyah
86,اديبة,adeeba
87,اديبة,adeebah
88,عديمة,adeema
89,ادين,adeen
90,ادينا,adeena
91,اضيف,adeeva
92,اضن,aden
93,ادنى,adena
94,عذرة,adhara
95,اديبة,adiba
96,اضيفه,adifaah
97,ادينا,adina
98,اذينه,adineh
99,اديرة,adira
100,اضيف,adiva
101,ادلى,adla
102,ادلاء,adlaa
103,ادلة,adlah
104,ادلة,adlea
105,اظن,adn
106,عدنانيه,adnanah
107,اذنيه,adniyyah
108,ادريانا,adrianna
109,اديان,adyan
110,عيني,aeni
111,عفاف,afaf
112,افنى,afana
113,عفيفى,afeefa
114,عفيفه,afeefah
115,فين,afeen
116,عفيرة,afeera
117,عفرا,affera
118,عفرا,affra
119,عفيفى,afifa
120,عفيفه,afifah
121,فيزه,afizah
122,افكار,afkar
123,افنان,afnan
124,عفراء,afraa
125,افراح,afrah
126,افرايم,afraima
127,افريده,afreeda
128,عفرين,afrin
129,فرصهم,afrisham
130,افرز,afrouz
131,افرز,afroz
132,افرز,afroza
133,افرز,afroze
134,افرزه,afrozeh
135,افصى,afsa
136,افصح,afsah
137,فسنة,afsana
138,فسنة,afsanah
